instance,status,our_objective,our_time_s,ref_tag,ref_objective,verdict
n5-3,feasible,9500,60.01,=opt=,8104.999999993999,MISMATCH
neos-1122047,time-limit,0,60.00,=opt=,161.0,no-answer
neos-1171448,time-limit,0,60.00,=opt=,-309.0,no-answer
neos-1171737,time-limit,0,60.00,=opt=,-195.0,no-answer
neos-1354092,time-limit,0,60.02,=opt=,46.0,no-answer
neos-1445765,time-limit,0,60.03,=opt=,-17783.0,no-answer
neos-1456979,time-limit,0,123.80,=opt=,176.0,no-answer
neos-1582420,time-limit,0,60.08,=opt=,90.99999999999996,no-answer
neos-2075418-temuka,time-limit,0,60.05,=inf=,None,no-answer
neos-2657525-crna,time-limit,0,68.38,=opt=,1.810748,no-answer
neos-2746589-doon,time-limit,0,60.00,=opt=,2008.199999999999,no-answer
neos-2978193-inde,feasible,-2.388061686,60.02,=opt=,-2.38806169,matched
neos-2987310-joes,time-limit,0,60.00,=opt=,-607702988.3,no-answer
neos-3004026-krka,time-limit,0,65.77,=opt=,0.0,no-answer
neos-3024952-loue,feasible,50658,60.00,=opt=,26756.0,MISMATCH
neos-3046615-murg,feasible,3029,60.00,=opt=,1600.0,MISMATCH
neos-3083819-nubu,Timeout,nan,150.00,=opt=,6307996.0,no-answer
neos-3216931-puriri,time-limit,0,60.02,=opt=,71320.0,no-answer
neos-3381206-awhea,time-limit,0,60.03,=opt=,453.0,no-answer
neos-3402294-bobin,time-limit,0,117.56,=opt=,0.06724999999999949,no-answer
neos-3402454-bohle,time-limit,0,60.31,=inf=,None,no-answer
neos-3555904-turama,time-limit,0,60.01,=opt=,-34.7,no-answer
neos-3627168-kasai,time-limit,0,60.00,=opt=,988585.6199999998,no-answer
neos-3656078-kumeu,time-limit,0,74.94,=opt=,-13172.2,no-answer
neos-3754480-nidda,feasible,13834.88553,60.00,=opt=,12939.7540104743,MISMATCH
neos-3988577-wolgan,time-limit,0,60.00,=inf=,None,no-answer
neos-4300652-rahue,time-limit,0,60.01,=opt=,2.1416,no-answer
neos-4338804-snowy,feasible,3133,60.03,=opt=,1471.0,MISMATCH
neos-4387871-tavua,time-limit,0,60.17,=opt=,33.384729927,no-answer
neos-4413714-turia,time-limit,0,60.00,=opt=,45.3701670199998,no-answer
neos-4532248-waihi,time-limit,0,60.01,=opt=,61.59999999999999,no-answer
neos-4647030-tutaki,time-limit,0,60.01,=opt=,27265.70599999996,no-answer
neos-4722843-widden,time-limit,0,60.01,=opt=,25009.662227,no-answer
neos-4738912-atrato,time-limit,0,62.09,=opt=,283627956.595,no-answer
neos-4763324-toguru,time-limit,0,60.00,=opt=,1613.03884585,no-answer
neos-4954672-berkel,feasible,4281921,60.00,=opt=,2612710.0,MISMATCH
neos-5049753-cuanza,time-limit,0,60.02,=opt=,561.9999971689,no-answer
neos-5052403-cygnet,time-limit,0,60.02,=opt=,182.0,no-answer
neos-5093327-huahum,time-limit,0,60.21,=opt=,6259.999997125895,no-answer
neos-5104907-jarama,time-limit,0,60.06,=opt=,935.0,no-answer
neos-5107597-kakapo,time-limit,0,95.11,=opt=,3644.99999999952,no-answer
neos-5114902-kasavu,time-limit,0,60.07,=opt=,655.0,no-answer
neos-5188808-nattai,time-limit,0,60.00,=opt=,0.110283622999984,no-answer
neos-5195221-niemur,time-limit,0,60.01,=opt=,0.0038354326,no-answer
neos-631710,time-limit,0,60.01,=opt=,203.0,no-answer
neos-662469,time-limit,0,60.00,=opt=,184379.9999999999,no-answer
neos-787933,feasible,178,60.73,=opt=,30.0,MISMATCH
neos-827175,time-limit,0,60.03,=opt=,112.00152,no-answer
neos-848589,feasible,10672228.1,61.58,=opt=,2351.40309999697,MISMATCH
neos-860300,time-limit,0,66.16,=opt=,3200.999999999998,no-answer
neos-873061,time-limit,0,60.01,=opt=,113.6562385063,no-answer
neos-911970,feasible,79.66,60.00,=opt=,54.76,MISMATCH
neos-933966,time-limit,0,60.00,=opt=,318.0,no-answer
neos-950242,time-limit,0,60.00,=opt=,4.0,no-answer
neos-957323,time-limit,0,76.60,=opt=,-237.7566815,no-answer
neos-960392,Timeout,nan,150.00,=opt=,-238.0,no-answer
neos17,feasible,0.2214067832,60.00,=opt=,0.1500025774,MISMATCH
neos5,feasible,15,60.00,=opt=,15.0,matched
neos8,feasible,11,68.38,=opt=,-3719.0,MISMATCH
neos859080,infeasible,0,2.31,=inf=,None,inf-proven
net12,time-limit,0,60.01,=opt=,214.0,no-answer
netdiversion,time-limit,0,60.01,=opt=,242.0,no-answer
nexp-150-20-8-5,feasible,776,64.95,=opt=,231.0,MISMATCH
ns1116954,time-limit,0,60.01,=opt=,0.0,no-answer
ns1208400,Timeout,nan,150.00,=opt=,2.0,no-answer
ns1644855,time-limit,0,60.03,=opt=,-1524.33333333333,no-answer
ns1760995,time-limit,0,60.03,=opt=,-549.21438505,no-answer
ns1830653,Timeout,nan,150.00,=opt=,20622.0,no-answer
